,dialog_act,utterance_content
17467,bye,good bye
9739,inform,dont care
20912,request,whats the phone number
18556,inform,im looking for a moderately priced restaurant
16076,inform,im looking for a cheap restaurant in the north part of town
1118,request,what type of food
6879,restart,oh jesus christ start over
17471,inform,any
8037,inform,i would like modern european food
6479,request,type of food
11710,thankyou,thank you good bye
21866,request,the phone number
6371,thankyou,thank you good bye
6308,request,the address
2524,request,whats the address and phone number
12668,inform,i want a polynesian restaurant in the north part of town
11459,affirm,yes
12481,affirm,right
5569,request,i want to know the address
12631,reqalts,how about indian food
5433,thankyou,thank you good bye
24599,request,can i have the address phone number and
3071,inform,mexican
8653,inform,talian food
1515,inform,east
8541,thankyou,thank you good bye
9664,inform,thai
7407,thankyou,thank you good bye
15721,request,what is the address and phone number
3998,inform,im looking for something cheap
9333,thankyou,thank you good bye
21298,inform,north
12541,inform,uh doesnt matter
21137,request,whats the phone number and post code
24696,thankyou,thank you good bye
11404,thankyou,thank you goodbye
16950,inform,any
4768,request,phone number
12111,inform,korean
8100,inform,it doesnt matter
2695,inform,what about asian food
11828,inform,id like a restaurant in any area
25107,reqalts,anything else
3385,inform,spensive
497,thankyou,thank you good bye
16520,request,what type of food does it have
20640,request,what is the signature dish
11550,thankyou,thank you goodbye
4990,inform,belgian food
17328,affirm,yes
22629,thankyou,thank you good bye
24173,thankyou,thank you good bye
25318,inform,i want a restaurant in the south part of town
11455,request,what is the phone number
7732,request,post code
19279,reqalts,what about chinese type of food
21325,inform,food
7436,inform,i dont care
12400,request,what is the address
19525,affirm,correct
6998,inform,thai
4866,request,whats the post code
16671,inform,center
2089,bye,bye
15484,affirm,yes
16663,inform,im looking for a moderately priced restaurant in the south part of town
15850,affirm,yes
23686,thankyou,thank you good bye
8553,inform,find me a cheap vietnamese restaurant
4065,inform,in the east part of town
20860,thankyou,thank you good bye
1458,request,phone number
16549,inform,romanian food
5633,inform,east
11941,inform,i would like to find a moderately priced
17656,inform,east part of town
18214,inform,breath i dont care
3553,inform,caribbean food
25296,request,whats the address
23953,affirm,yes
13734,inform,turkish
9758,inform,im looking for a moderately priced restaurant that serves vietnamese food
14580,thankyou,thank you good bye
24208,inform,north
18907,request,what is the phone number
19121,request,what is the address
8547,request,whats the phone number
16995,negate,no no
12125,request,what is the post code
10275,request,whats the phone number
12054,request,phone number
14656,request,whats the address and phone number
3938,inform,i want a restaurant that serves
6814,thankyou,thank you goodbye
19074,inform,um anything else
12321,reqalts,how about caribbean food
24669,request,address
14042,inform,the south
15364,deny,i dont want vietnamese food
5531,inform,expensive
13581,request,phone number
8204,inform,indian
6617,request,and the post code
6231,inform,any area cuban food
6843,request,and the phone number
21570,inform,im looking for a cheap jamaican restaurant
15432,request,phone number
23347,affirm,yea
12526,inform,korean
17370,thankyou,thank you good bye
17310,affirm,yes
21386,thankyou,thank you good bye
8864,inform,dont care
4677,reqalts,how about indian
22562,reqalts,how about italian type of food
23777,inform,spanish food
16534,inform,i need a restaurant serving asian oriental in the north part of town
10702,inform,west
22597,thankyou,thank you good bye
972,inform,im looking for an expensive restaurant that serves european food
4632,reqalts,is there anything else
12261,thankyou,thank you good bye
22261,inform,can i find something in the west part of town
17428,inform,food
1798,inform,barbecue food
6161,inform,indonesian food
10267,inform,i need a moderately priced restaurant in the west part of town
17242,request,can i have the address
14904,inform,east part
17770,inform,well what about chinese food
19454,request,whats the address and phone number
7467,inform,spanish
3806,request,what is the address
3404,affirm,noise yes
2371,affirm,uh yeah can i find a restaurant in the south part of town serving turkish food
20644,request,what is the signature dish
7254,thankyou,thank you good bye
481,request,address
129,reqalts,what about bistro food
16542,inform,asian oriental food
19607,thankyou,thank you good bye
13878,inform,i dont care
24658,request,and whats the price range
7853,reqalts,what about portuguese food
17515,reqalts,how about italian food
11146,inform,cheap
3309,thankyou,thank you good bye
17408,inform,expensive
2519,inform,west
10562,inform,vietnam
9436,request,phone number
6816,affirm,yes
11999,inform,i dont care
24807,inform,cheap
8283,thankyou,thank you good bye
9984,inform,moroccan food
15581,inform,south
11068,request,address phone number
5743,thankyou,thank you good bye
10451,hello,hi im looking for a cheap restaurant in the south part of town
2600,thankyou,thank you good bye
15758,request,can i get the address
23332,inform,east part
11589,request,whats the address
16847,request,what is the address and phone number
3424,reqalts,uh how about italian food
1024,thankyou,thank you good bye
18258,inform,cheap restaurant
13112,thankyou,thank you good bye
12403,inform,moderate price in south
11319,inform,shit served swiss food
22965,inform,i want african food
14932,request,whats the address
23769,request,address
17174,reqalts,is there a restaurant serving turkish food
23588,inform,caribbean foo
15321,inform,mexican food
23226,inform,cheap restaurant
5285,inform,doesnt matter
3794,thankyou,thank you good bye
5410,reqalts,how about indian food
7946,request,price range
12488,reqalts,how about portuguese
10925,inform,um in the south part of town and its cheap
12117,inform,turkish food
14794,request,what kind of food do they serve
24444,inform,lebanese damn it just listen to me
20471,inform,moderate
18115,affirm,yes can i have malaysian food
8097,reqalts,what about american food
23743,inform,scottish
6375,request,okay whats the address
5087,inform,pan asian food
596,inform,japanese food
6211,reqalts,how bout any price range
18764,affirm,yes
13402,negate,no
11894,inform,it doesnt matter
2184,confirm,is it expensive
14285,inform,im looking for a moderately priced restaurant
11737,inform,find asian oriental
7400,thankyou,thank you goodbye
15458,inform,i dont care
22989,inform,im looking for international
25025,thankyou,thank you good bye
22339,request,phone number
23248,inform,restaurant in the east side of town
20807,request,what is the phone number
11895,request,may i have the address phone number and post code
8802,inform,i dont care
20571,inform,um swedish food
584,inform,mexican food
15981,inform,south
18824,inform,im looking for a cheap restaurant in the west part of town
10579,thankyou,thank you good bye
24246,inform,east
24801,inform,uh restaurant in the west part of town with scottish food
12948,inform,turkish
6329,request,what type of food does it serve
10710,inform,i dont care
20470,inform,cheap
15530,inform,i dont care
12782,inform,expensive
15226,inform,can i find a restaurant with gastropub food
21179,inform,expensive
13778,thankyou,thank you good bye
3649,thankyou,thank you goodbye
18252,inform,um chinese food
4820,inform,ostro asian
496,request,type of food
23477,reqalts,is there any restaurant
10924,inform,im looking for a restaurant that
13071,inform,any
14025,request,phone number
15157,affirm,ah yes can i get a restaurant that serves french food
5648,reqalts,how about italian food
13470,request,the address
23433,inform,and it should be in the north part of town
3010,inform,north
20664,request,what type of food
7530,thankyou,thank you good bye
12246,request,phone number
503,request,can i get the address
1308,thankyou,thank you goodbye
4733,inform,north
16310,thankyou,thank you good bye
22355,inform,a moderately priced restaurant in the west part of town
8878,affirm,yes
12917,request,can i get the phone number
9733,inform,im looking for a restaurant that serves asian oriental food in the cheap price ran
15084,thankyou,thank you goodbye
11726,request,whats the phone number
8302,inform,north american type food
1332,thankyou,thank you goodbye
12686,inform,i want a cheap restaurant in the east part of town
17195,thankyou,thank you good bye
19861,inform,dont care
12374,thankyou,thank you good bye
22667,negate,no air tran good
21067,request,and the address
10503,request,what is the price range
1341,inform,id like a restaurant in the center that serves danish food
3118,thankyou,thank you good bye
21370,reqalts,how about chinese food
10188,inform,im looking for a moderately priced restaurant in the south part of town
17092,inform,im looking for traditional food
23519,inform,in the south part of town
24200,inform,north part of town
11538,reqalts,what about any area
1689,request,what is the phone number
24543,inform,what about the other moderately priced restaurant in the south part
22778,thankyou,thank you good bye
7651,reqalts,is there anything else
12821,inform,dont care
21840,request,type of food
1559,thankyou,thank you good bye
2586,inform,im looking for a restaurant in the west
12762,inform,thai
14125,request,whats the phone number
13031,inform,any
21558,request,the address
14416,thankyou,thank you good bye
2266,thankyou,thank you good bye
381,inform,asian
18315,inform,spanish food
2545,reqalts,is there anything else
13477,request,and whats the phone number
9747,thankyou,thank you goodbye
3737,request,okay whats the phone number
19153,thankyou,thank you good bye
7449,inform,i dont care
8820,request,food of the venue
12451,request,whats the address
4916,inform,i would like to find a moderately priced restaurant
7495,inform,jamaican
23677,bye,bye
24122,inform,im looking for a cheap restaurant in the north part of town
6618,bye,see you good bye
8301,inform,north american food
24898,inform,uh thai food
2454,hello,hi im looking for a restaurant that serves lebanese food
4018,request,where
24,inform,im looking for an expensive restaurant that serves
13610,inform,turkish
18701,inform,i dont care
18526,reqalts,how about the center of town
7588,affirm,yes
3076,thankyou,thank you good bye
20634,inform,spanish food
11938,inform,i do not care
23072,inform,the food
3002,inform,im looking for a moderately priced restaurant and it should be in the north
1596,bye,good bye
24535,request,what is the phone number
867,inform,moderate
10204,reqalts,ok how about chinese food
2808,thankyou,thank you good bye
1837,thankyou,thank you good bye
18553,request,address
19488,reqalts,what about international
12402,thankyou,thank you good bye
19496,inform,im looking for a restaurant in the south part of town and it should serve canapes food
21875,inform,vegetarian food in the east part of town
9777,inform,chinese food
14295,reqalts,how about indian food
14040,thankyou,thank you good bye
10837,inform,moderately priced food
18873,inform,it doesnt matter
4911,inform,moderate
18288,request,phone number
24943,inform,uh the center
6024,affirm,uh yes can i find a cheap restaurant in the north part of town
13899,reqalts,what about chinese
23706,request,price range
10687,bye,okay thank you and good bye
21737,affirm,yes
20254,thankyou,thank you good bye
4781,bye,good bye
2792,thankyou,thank you good bye
17325,inform,brazilian
13287,affirm,yea
6038,bye,uh thank you and good bye
15607,inform,world food
22565,inform,north
10845,reqalts,what about indian food
19208,repeat,please repeat
19369,affirm,right
21592,inform,moderately priced serving european food
13210,request,what is the address
5640,thankyou,thank you good bye
436,request,what is the phone number
22409,inform,moderate
6705,inform,spanish food
8995,inform,id like a moderately priced restaurant that serves cuban food please
20868,inform,dont care
21169,inform,modern european food
6791,request,what type of food is it
15274,inform,im looking for a cheap restaurant in the west part of
15855,affirm,yes
19401,inform,italian
3969,inform,i would like australian asian food
25494,inform,south
17536,inform,italian
22366,inform,a cheap restaurant east part of town
11411,inform,east
18704,thankyou,thank you good bye
21515,inform,i dont care
6539,request,uh whats the address
16157,inform,spanish food in west area
19597,hello,hello
14526,inform,looking for a restaurant in west part of town serving cantonese
11630,request,and the post code
13205,request,what is the phone number
20372,thankyou,thank you good bye
23857,inform,i dont care
12232,request,prices
11259,inform,cheap
21495,request,what type of food do they serve
8751,thankyou,thank you and good bye
7100,request,phone number
24275,request,whats the address
21490,thankyou,good bye thank you
13464,inform,asian
19242,inform,im looking for a restaurant in the center of town that serves russian food
25375,request,whats their phone number
1881,thankyou,good bye thank you
14810,request,what is the address and phone number
7847,reqalts,what about vietnamese food
16339,request,and what is the price range
574,request,where is the phone number
15556,negate,uh no preference
13309,thankyou,thank you good bye
24897,affirm,uh yes im looking for a restaurant in any area that serves thai food
7547,inform,center town
256,thankyou,thank you good bye
3122,thankyou,thank you good bye
24357,request,could i have the address and phone number
12902,request,whats the phone number
14613,thankyou,thank you good bye
22403,inform,spanish
12934,inform,a restaurant in the north part of town
9310,inform,im looking for an expensive restaurant
6096,inform,im looking for a restaurant in the north part of town that serves euro
22082,inform,i am looking for modern european food
13365,request,what is the address
10142,thankyou,thank you good bye
16247,reqalts,is there anything else
6929,repeat,back
692,request,what is the price range
13619,inform,i dont care
19669,reqalts,how about spanish
7304,inform,seafood
7199,thankyou,thank you good bye
18463,reqalts,anything else
23334,negate,no
11796,inform,expensive
13363,affirm,yes in the north part of town
2582,thankyou,thank you good bye
6846,inform,im looking for a moderately priced restaurant and it should serve polynesian food
16659,inform,any type
7511,request,what is the post code
3705,reqalts,what about korean food
15541,reqalts,is there anything else
6681,inform,any kind
17881,request,what is the phone numbere
12725,request,whats its price range
23578,hello,hello im looking for a moderately priced restaurant in thr
8544,inform,any
24703,inform,dont care
17826,request,the address
1480,request,post code
13275,reqalts,are there any other restaurants
24263,inform,cheap restaurant south part of town
4794,inform,expensive restaurant
19511,inform,okay international food
4805,request,phone number
1286,negate,no
17053,inform,im looking for eritrean food
551,inform,i dont care
5028,inform,can i have a lebanese restaurant
2602,inform,persian
13510,hello,hi im looking for a restaurant
18976,inform,east
6009,affirm,uh yes
18574,thankyou,thank you good bye
24302,inform,gastropub
11155,request,okay what type of food is that
22392,inform,italian
22690,affirm,yes
19547,inform,it doesnt matter
10128,inform,how bout chinese food
13789,affirm,yes
25489,request,whats the phone number
19682,inform,any area
5643,request,whats the address
10207,reqalts,ok is there any restaurant that serves chinese food in the east part of town
12183,inform,gastropub restaurant
12857,inform,center
4198,request,can i have the phone number and the price range
17658,inform,cheap
14938,inform,an expensive italian restaurant
12667,thankyou,thank you good bye
18548,inform,christmas food
8158,negate,no
23960,inform,its in the south
14587,request,whats the addre
22832,thankyou,thank you good bye
9756,request,post code
22166,inform,restaurant
23138,inform,thai food
16971,inform,any
8895,inform,it doesnt matter
9323,inform,the north
25353,inform,oh i dont care
13880,reqalts,is there anything else
3662,thankyou,thank you good bye
13476,request,great whats its address
15044,negate,no danish
20242,inform,i want a restaurant in the center and it should serve european food
14975,request,and the phone number
10993,request,can i have the phone number
24347,request,whats the price range
18481,inform,any
9600,request,whats the phone number
8833,inform,swedish food
18927,affirm,ye
15542,request,what is the address
1452,request,address
19295,thankyou,thank you good bye
21820,inform,south part of town
16684,inform,polynesian food
17367,affirm,yes
37,inform,restaurant in the east part of town international food
11324,request,post code
6823,request,and the phone number
8380,request,what is the phone number
2217,request,what is the phone number
9069,request,address
8184,request,phone number
1424,request,address phone number and post code
24527,reqalts,is there another restaurant that serves portuguese food
1665,inform,serving romania food
11959,request,address and phone number please
1307,thankyou,thank you goodbye
5605,request,phone number
8877,thankyou,thank you good bye
2661,thankyou,thank you goodbye
16870,inform,vietnamese
6053,inform,expensive
454,reqalts,how about turkish food
11785,request,phone number
21479,request,whats the phone number
1364,reqalts,breath is there anything else
19509,thankyou,thank you good bye
7804,inform,id like to find a moderately priced restaurant in the east part of town
22384,reqalts,what about mediterranean
19810,inform,moderately priced
18109,inform,doesnt matter
10138,reqalts,is there anything else
17288,inform,moderately priced
10428,request,and the post code
18339,request,what is their address
1034,inform,any
3192,request,phone number
3355,inform,i dont care
24601,affirm,yeah
13548,reqalts,how about in any area
2467,reqalts,what about turkish food
10501,confirm,is it hungarian
4467,negate,no
21503,inform,im looking for a moderately priced restaurant in the south part of
826,inform,i want a cheap restaurant in the north part of town
19711,inform,west
12766,inform,south
24078,inform,cheap restaurant in the east part of town
15950,thankyou,thank you good bye
756,inform,expensive
15218,inform,i dont care
18273,inform,vietnamese
3568,request,what area is it in
10942,request,can i have the address
11437,inform,center
19359,deny,wrong
14171,inform,serve kosher food
412,thankyou,thank you good bye
13389,request,the phone number
15024,reqalts,is there anything else
22701,request,phone number
8998,request,could i have the phone number please
21504,inform,i dont care
3497,request,may i have the address and phone number please
1006,thankyou,thank you good bye
5477,reqalts,how about italian food
1627,request,address
653,request,phone number
3150,request,whats the address
11797,request,price range
22213,request,post the phone number
10852,inform,im looking for um
12592,confirm,is it serving french food
16418,reqalts,are there any restaurants serving turkish food
17207,confirm,is it in the north part of town
24764,inform,i dont care
17089,request,and phone number
16974,inform,cheap restaurant south part of town
6508,inform,on the south part of town
9252,request,address
4624,inform,chinese food
18599,inform,im looking for an expensive restaurant
6801,inform,what type food
6068,request,whats the phone number
24538,inform,any type
8434,inform,indian type of food
23126,thankyou,thank you good bye
15786,inform,danish
9585,reqalts,is there anything else
9255,inform,cheap restaurants
23258,request,what is their phone number
18201,request,can i have the address and phone number
6837,thankyou,thank you good bye
17628,request,im looking for a restaurant in the north part of town serving french type of food
2131,inform,west
9895,reqalts,how about mediterranean food
11275,thankyou,thank you good bye
22389,thankyou,thank you good bye
23605,inform,it doesnt matter
12611,request,whats the price range
1210,thankyou,thank you good bye
24117,reqalts,could you give me another venue
5771,thankyou,thank you good bye
25122,inform,i dont care
20959,inform,vietnamese
273,request,post code
11426,inform,dont care
1167,thankyou,thank you goodbye
3261,inform,i dont care
5210,thankyou,thank you good bye
3110,inform,gastropub food
5693,request,phone number
7887,reqalts,how about indian
20952,inform,french food
2176,request,what kind of food do they serve there
13612,inform,moderate
5834,reqalts,how about turkish
21466,request,can i have the phone number
13292,inform,british food
12938,thankyou,thank you good bye
4546,request,phone number
12204,inform,african food
20892,inform,expensive restaurant
12786,inform,italian
10637,inform,i would like to find a moderately priced restaurant and it should be in the east part of town
2496,inform,portuguese
9742,request,the address
11784,inform,korean food expensive
11010,inform,moderate
19706,thankyou,thank you good bye
17667,inform,turkish
12008,thankyou,thank you good bye
22190,reqalts,how about mediterranean food
3752,reqalts,is there anything else
20379,inform,chinese food
6031,affirm,yes
23951,inform,moderately priced restaurant
20257,inform,dont care
24700,request,whats the address
18425,inform,cantonese
24295,request,area
24529,thankyou,thank you good bye
3100,request,phone number
11640,request,can i get the phone number
19422,thankyou,thank you good bye
3719,request,address
2866,request,whats the address
16237,inform,any type
12528,request,what is the address
7253,inform,anything
8775,request,what is the address phone number and post code
224,request,phone number
3200,thankyou,thank you good bye
2411,request,and the address
25196,inform,im looking for a restaurant in the west part of town
24105,inform,i want to find an expensive restaurant in the south part of town
9328,inform,can i have a moderately priced restaurant
15114,thankyou,thank you good bye
5766,inform,im looking for a restaurant in the center of town that serves lebanese
12547,request,what is the post code
8288,request,what type of food
23536,inform,the south part of town please
20371,inform,i want to find a restaurant moderately priced in the south part of town
12642,request,what about the phone number
22444,thankyou,thank you good bye
11147,inform,oh i need to be in the north
23034,negate,no
24612,thankyou,thank you good bye
6081,inform,african
21331,inform,moderate restaurant
3693,inform,vietnamese food
2392,request,type of food
10004,thankyou,thank you good bye
7930,negate,no
24280,request,phone number
19811,inform,it doesnt matter
12485,inform,restaurant south part of town
20572,reqalts,how about indian food
24817,inform,breath a cheap restaurant in the north part of town
908,inform,expensive restaurant south part of town
9215,request,phone number
16844,inform,im looking for a moderately priced resturant in the east part of town
6523,inform,expensive restaurant
13625,request,phone number
19486,thankyou,thank you good bye
1870,thankyou,thank you good bye
9103,inform,uh korean food
4122,inform,anything
12331,reqalts,next one
10807,reqalts,how about vietnamese food
22760,inform,im looking for a restaurant in the center of town that serves
6408,inform,bistro
19492,inform,dont care
23063,request,phone number
12572,request,what area of town is it in
7988,inform,i dont care
15527,request,whats the phone number
1131,inform,i want a restaurant in the north part of town
5919,request,post code
16435,request,can i have the address and phone number please
11875,request,type of food
1096,thankyou,thank you good bye
18104,request,whats the address
11457,inform,im looking for a restaurant that serves german food
3014,inform,any
9419,inform,any
13652,inform,an expensive restaurant in the south part of town
23589,inform,caribbean
20514,inform,the east part
20201,reqalts,how about in any price range
19268,reqalts,what about chinese
24231,inform,i dont care
13685,inform,dont care
2201,request,what is the address
15864,inform,north
17476,thankyou,thank you good bye
9858,inform,west
19028,thankyou,thank you good bye
12061,request,phone number
17084,inform,east side
2732,thankyou,thank you good bye
25441,inform,south
11286,affirm,right
9961,request,whats the phone number
25404,request,what is the address
19062,inform,russian
3434,request,the phone number
9052,request,address
22471,reqalts,how about korean
6361,thankyou,thank you good bye
19356,deny,wrong
1995,inform,east part of town i need an expensive restaurant
16100,thankyou,thank you goodbye
17232,request,may i have the address
4792,request,phone number
23263,affirm,correct
1460,request,phone number
17686,inform,center
1221,inform,french food any part of town
8314,affirm,right
10928,request,may i have the address
12190,affirm,yes
12375,inform,im looking for a moderately priced restaurant in the west part of town
17490,inform,any price range
14596,inform,i would like asian oriental
9922,inform,cheap restaurant that serves vegetarian food
14062,inform,cheap restaurant mediterranean food
23694,inform,moderately priced restaurant in east part
8968,inform,id like a restaurant in any area that it serves canapes
9666,inform,thai
4864,reqalts,how about european food
8645,inform,chinese
17632,thankyou,thank you goodbye
15407,reqalts,how about one with thai food
17085,request,okay whats their address
16487,inform,um dont care
18605,request,do you have the phone number
18588,inform,um im looking for an expensive restaurant
11341,inform,it doesnt matter
15893,request,and what kind of food
14047,inform,unintelligible restaurant
13898,reqalts,how about chinese food
3298,affirm,yes
356,inform,any
2987,inform,i want to find a restaurant in the south part of town and it shows
11912,inform,that serves romanian food
25067,inform,im looking for food in the south part of town
21518,inform,north part of town
2653,inform,expensive
12037,inform,north
7193,request,may i have the address
1056,request,whats the address
11443,inform,malaysian
1476,inform,british food
3715,request,what is the phone number
10392,thankyou,thank you goodbye
15454,request,whats the phone number
2860,inform,moderately priced restaurant
14091,request,what is the address
20173,bye,okay thank you and good bye
8224,inform,any
12165,thankyou,thank you good bye
2484,thankyou,thank you good bye
12330,inform,i dont care
15951,negate,no thank you good bye
8763,thankyou,unintelligible thank you goodbye
22375,inform,catalan
3593,inform,traditional
7205,confirm,do they serve korean food
23776,inform,restaurant in the center
16598,thankyou,thank you good bye
21814,inform,expensive
18420,inform,south
15534,inform,im looking for a cheap restaurant in the east part of town
11705,thankyou,thank you good bye
25366,inform,moderately priced
10814,thankyou,thank you good bye
2409,inform,portuguese food
10992,inform,im looking for a cheap restaurant with spanish food
18031,inform,i want to find a moderately priced restaurant and it should be in the west part of town
9978,thankyou,thank you good bye
23620,affirm,right
16535,inform,asian oriental food in the north part of town
9821,affirm,yes
2910,request,and their post code
12549,inform,im looking for an expensive restaurant serving kitalian food
14107,thankyou,thank you good bye
11820,request,could i have the address and phone number
6476,inform,any
14939,inform,dont care
11811,inform,turkish food
15088,request,uh whats the address
15166,ack,kay
18448,inform,west
3477,inform,i want a moderately priced restaurant that serves
16394,negate,no
2147,request,whats the phone number
25189,request,and the price range
8997,reqalts,how about chinese food
22660,request,give me the address
1915,inform,doesnt matter
11734,affirm,yes
2803,inform,can i get a moderately priced restaurant in the north
16670,inform,restaurant center serves spanish food
3063,thankyou,thank you good bye
5031,thankyou,thank you good bye
25409,thankyou,thank you good bye
17875,bye,you good bye
9125,inform,italian food
10959,negate,no the south part
3756,request,what kind of food do they serve
22312,thankyou,thank you good bye
1116,reqalts,anything else
18881,inform,it does not matter
21277,request,and whats the address
10982,thankyou,thank you
4377,request,whats the phone number
12779,request,address
18129,request,the address
6257,inform,american
23717,inform,cheap restaurant
20501,thankyou,thank you good bye
6664,inform,dont care
24218,request,and their phone number
885,inform,expensive
5726,inform,i need a moderately priced restaurant that serves caribbean food
10867,inform,restaurant in central
21457,thankyou,thank you good bye
20851,inform,japanese food
11832,request,phone number
718,thankyou,thank you good bye
4776,bye,bye
13557,inform,cuban
20822,request,what price range
9134,inform,tuscan
11735,affirm,yes
22706,inform,uh european food
7339,inform,im looking for a moderately priced restaurant in the south part of town
18687,request,phone number
25454,inform,any
11387,request,what is the address and phone number
22777,request,whats the address
22216,inform,i would like moroccan food
14387,thankyou,thank you good bye
23576,request,whats the phone number
5713,inform,indian
7587,inform,south
14986,reqalts,what about persian food
4328,thankyou,thank you good bye
2527,affirm,yes
1464,request,address
919,request,whats the price range
2902,request,and their phone number
10345,inform,cheap
7410,reqalts,how about chinese
6886,thankyou,thank you goodbye
19673,inform,um moderate
17149,reqalts,is there a restaurant in the north part of town that serves indian food
18933,inform,chinese food
9154,inform,west
19652,affirm,yes id like a restaurant in the east part of town that serves indian food
4708,request,could i have the address and phone number please
11486,request,whats the phone number
15495,inform,in the east part of town
10479,inform,gastropub
6148,bye,alright so im very good thanks good bye
25450,inform,what about kosher food
15729,inform,any price range
16388,request,and the address
24459,request,whats the address
14307,thankyou,thank you good bye
10828,inform,im looking for a cheap pan asian food
598,request,address
10574,inform,south expensive
9994,request,what is the phone number
6524,request,phone number
16488,reqalts,uh is there anything else
13849,inform,the south part of town
16642,negate,breath no malaysian food
2269,request,can i get the phone number
6200,reqalts,okay how about asian oriental
7517,thankyou,thank you goodbye
24537,inform,can i have a moderately priced restaurant in the west part of town
13674,request,address
259,inform,irish fdod
4262,request,address
1703,inform,about portuguese
1278,request,what is the price range
21695,affirm,yes indian food
22879,inform,south
2479,inform,south
25035,request,uh address and price range
18973,inform,east
6372,inform,im looking for uh restaurant serving caribbean food
22983,request,what is the phone number
13658,inform,moderately priced restaurant halal food
23283,request,price range
20386,affirm,yes
20649,affirm,yeah
4086,request,i want the address phone number and area
17042,inform,im looking for a cheap restaurant in the east part of town
4623,inform,pan asian
7175,confirm,is it in the moderate price range
22088,inform,im looking for a restaurant in the east part of town that serves hungarian food
24418,inform,cheap restaurant in the west part of town
24326,inform,im looking for a restaurant in the
9406,request,phone number
20089,request,whats the address and phone number
7448,inform,the north part
17072,thankyou,thank you
21044,inform,italian food
24281,request,phone number
17065,affirm,yes
24491,inform,i dont care
9285,reqalts,how about european food
9625,inform,im looking for a cheap restaurant in the north part of town
1823,inform,thai
6406,thankyou,thank you good bye
960,thankyou,alright thank you bye
3927,reqalts,anything else
4020,thankyou,thank you good bye
24845,reqalts,how about international food
3843,request,oh good whats the address
10610,request,may i have the address and phone number
6251,inform,south
9838,inform,thai food
10314,inform,any
17973,inform,dont care
11791,request,phone number
20047,inform,noise im looking for moderately priced in the north part of cleveland ohio
15248,request,phone number
10118,thankyou,thank you good bye
13484,reqalts,how about modern european
21237,inform,im looking for a restaurant that serves vegetarian food
4321,inform,im looking for moderately priced restaurant that serves world food
8896,inform,romanian
8580,request,what type of food do they serve
7816,inform,i dont care
24265,inform,south
9032,inform,afghan food
6687,request,whats the phone number
1338,confirm,is that in the north part of town
13550,request,could i have the area please
16668,thankyou,thank you good bye
18078,request,what type of food does it have
17135,inform,im looking for portuguese food
13149,reqalts,um how about a restaurant in the center with int
1879,request,and the telephone number
669,reqalts,is there anything else
12907,reqalts,how about indian food
14719,thankyou,thank you good bye
7075,inform,turkish food
25270,inform,south
12086,inform,expensive mexican
906,thankyou,thank you good bye
5338,request,and the phone number
8828,request,phone number
19643,affirm,right
13787,inform,breath im looking for a moderately priced restaurant in the east p
13666,request,postal code
5846,thankyou,thank you good bye
4908,thankyou,thank you goodbye
17805,inform,it doesnt matter
17445,inform,im looking for polynesian food
21319,inform,food
16188,inform,doesnt matter
8180,inform,any
8294,inform,doesnt matter
23448,request,whats the address
23695,inform,any
18898,request,and the phone number
10315,request,can i get the address and phone number please
5420,bye,okay good bye
1270,confirm,is it in the center
23127,inform,im looking for an expensive restaurant
1288,negate,no
12419,thankyou,thank you goodbye
1730,thankyou,thank you good bye
14330,thankyou,uh thank you good bye
18724,reqalts,another restaurant
13972,inform,it doesnt matter
4336,reqalts,anything else
11751,inform,restaurant
3231,inform,cuban food
23815,affirm,yea
15601,request,whats the phone number
12386,inform,modern european food
1793,affirm,yes the address
16062,request,telephone number
13633,request,address
25005,thankyou,thank you goodbye
12358,request,address
24851,inform,um spanish food
11755,thankyou,thank you good bye
22766,inform,spanish
18607,request,what type of food
17052,inform,eritrean food
10778,inform,i dont care
18199,reqalts,how about vietnamese
21878,affirm,yes indian food
14476,thankyou,thank you good bye
4459,request,address
7061,reqalts,how about mediterranean food
6565,inform,id like a restaurant in the north part of town that serves cross over food
8854,request,can i get the address
6990,inform,doesnt matter
4799,thankyou,thank you good bye
18379,negate,no
3646,bye,goodbye
7353,inform,im looking for thai food
1406,thankyou,thank you good bye
339,thankyou,thank you
12272,request,phone number
16162,inform,any
7785,inform,i would like to find a moderately priced restaurant in the north part of town
1446,inform,greek
22081,reqalts,what about a modern europene type of food
5452,request,and what is the phone number
13093,request,address
14546,request,whats the address
2040,inform,doesnt matter
24255,request,and the phone number
8011,request,phone number
24486,request,phone number
18499,inform,european food
19958,inform,center
11363,inform,it doesnt matter
5818,inform,serving barbecue food
20430,request,address
15098,inform,a restaurant in the west part of town should serve crossover food
20147,request,uh i want the address of the or the address of the mediterranean food part
11337,inform,im looking for vegetarian food on the east part of town
14508,thankyou,thank you good bye
7512,request,what is the phone number
435,reqalts,how about european food
22487,request,what is the area
21600,inform,portuguese
23260,inform,polish food
23845,inform,what about turkish
8303,inform,any area
8694,request,can i have the phone number and type of food that
16022,reqalts,how about european type of food
24138,thankyou,thank you good bye
17806,reqalts,do you have another
2589,reqalts,how about italian food
521,inform,food
13436,inform,mediterranean restaurant
24166,request,phone number
790,inform,im looking for a cheap restaurant in the west part of town
15254,inform,expensive
12396,reqalts,how about thai food
6803,confirm,is that asian oriental type of food
5859,inform,asian oriental food
15460,inform,sea food
5630,thankyou,thank you good bye
22956,inform,expensive
