,dialog_act,utterance_content
7657,inform,korean
7658,inform,korean
7659,inform,korean
7660,inform,korean food
7661,inform,korean food
7662,negate,no
7663,inform,korean food
7664,inform,korean
7665,null,aw give me the damn code
7666,negate,no thank you good bye
7667,inform,cheap italian food
7668,inform,italian food
7669,request,what kind of food
7670,inform,italian food
7671,request,what kind of food
7672,inform,italian food
7673,request,what kind of food do they serve
7674,null,usually
7675,inform,italian food
7676,request,what kind of food is it
7677,null,sil
7678,inform,italian food
7679,request,different kind of food
7680,null,i changed my mind
7681,thankyou,ah thank you goodbye
7682,thankyou,thank you goodbye
7683,request,may i have the phone number to the turkiesh
7684,inform,restaurant
7685,inform,the turkiesh
7686,null,sil
7687,inform,turkish food
7688,inform,the turkiesh food
7689,inform,turkey food
7690,thankyou,thank you
7691,inform,restaurant
7692,inform,turkiesh food
7693,thankyou,thank you good bye
7694,thankyou,thank you good bye
7695,thankyou,thank you
7696,bye,good bye
7697,thankyou,thank you good bye
7698,inform,christmas food
7699,inform,asian oriental
7700,inform,any
7701,inform,cheap
7702,request,phone number
7703,request,phone number
7704,request,address
7705,thankyou,thank you good bye
7706,null,unintelligible
7707,null,unintelligible
7708,null,unintelligible
7709,null,unintelligible
7710,inform,expensive
7711,null,sil
7712,null,sil
7713,request,address
7714,null,sil
7715,request,address
7716,inform,food
7717,thankyou,thank you good bye
7718,inform,expensive restaurants
7719,inform,dont care
7720,inform,sea food
7721,repeat,repeat
7722,inform,sea food
7723,request,address
7724,request,address
7725,thankyou,thank you good bye
7726,inform,moderately priced restaurant
7727,inform,east
7728,inform,dont care
7729,request,address
7730,request,phone number
7731,request,phone number
7732,request,post code
7733,thankyou,thank you good bye
7734,inform,moderately priced restaurant
7735,inform,south
7736,inform,dont care
7737,request,phone number
7738,request,post code
7739,thankyou,thank you good bye
7740,null,sil
7741,inform,cuban food
7742,inform,chinese
7743,inform,chinese
7744,inform,cheap
7745,inform,chinese
7746,null,sil
7747,request,address
7748,request,address
7749,request,address
7750,request,address
7751,request,phone number
7752,thankyou,thank you good bye
7753,inform,moderately priced restaurant
7754,inform,west
7755,inform,dont care
7756,null,inaudible
7757,request,address
7758,null,noise
7759,request,address
7760,null,sil
7761,request,phone number
7762,request,address
7763,thankyou,thank you goodbye
7764,inform,i would like to find an expensive restaurant that serves corsica food
7765,reqalts,uh how about north american
7766,inform,food
7767,reqalts,is there another alternative
7768,request,oh so what is the phone number
7769,request,what about the post code
7770,thankyou,thank you good bye
7771,null,sil
7772,null,sil
7773,inform,moderately priced restaurant in the west part of town
7774,inform,moderately priced restaurant in the west part of town
7775,inform,dont care
7776,reqalts,anything else
7777,thankyou,thank you good bye
7778,null,noise
7779,null,noise
7780,inform,west part of town
7781,null,noise
7782,inform,moderately priced restaurant
7783,null,noise
7784,thankyou,thank you goodbye
7785,inform,i would like to find a moderately priced restaurant in the north part of town
7786,affirm,yes
7787,inform,and moderately priced
7788,reqalts,is there anything else
7789,request,what is the phone number and post code
7790,thankyou,thank you good bye
7791,inform,im looking for a restaurant in the south part of town serving jamaican food
7792,inform,jamaican food
7793,inform,jamaican
7794,inform,jamaican food
7795,reqalts,how about chinese food
7796,inform,im looking for a restaurant in the south part of town serving chinese food
7797,inform,im looking for a restaurant in the south of town serving chinese food
7798,negate,no chinese
7799,inform,i would like chinese food
7800,affirm,yes
7801,inform,i dont care
7802,request,what is the address and price range
7803,thankyou,thank you good bye
7804,inform,id like to find a moderately priced restaurant in the east part of town
7805,inform,i dont care
7806,request,what is the address and phone number
7807,request,what type of food do they serve
7808,thankyou,thank you good bye
7809,inform,im looking for an expensive restaurant in the east town
7810,inform,i dont care
7811,request,what kind of food is there
7812,request,what kind of food
7813,request,what is the address
7814,thankyou,thank you good bye
7815,inform,im looking for an expensive restaurant in the east of town
7816,inform,i dont care
7817,request,what is the address and post code
7818,request,what is the post code
7819,thankyou,thank you good bye
7820,inform,chinese
7821,inform,the south
7822,negate,no new selection
7823,negate,no im looking in the south of the town
7824,inform,im looking chineese food
7825,inform,i dont care
7826,reqalts,next
7827,reqalts,next
7828,reqalts,next
7829,request,phone number
7830,request,phone number
7831,thankyou,okay thank you good bye
7832,inform,im looking for a restaurant in the east part of town that serves traditional food
7833,reqalts,what about indian food
7834,inform,indian food
7835,inform,it doesnt matter
7836,request,what is the address
7837,request,what is the phone number
7838,thankyou,thank you good bye
7839,inform,i want to find a restaurant that serves world food
7840,reqalts,what about french food
7841,reqalts,what about french food
7842,request,what is the address
7843,request,what is the phone number
7844,thankyou,thank you goodbye
7845,inform,im looking for a restaurant serving romanian food
7846,reqalts,what about vietnamese food
7847,reqalts,what about vietnamese food
7848,affirm,yes
7849,request,what about the address
7850,thankyou,thank you good bye
7851,inform,im looking for a restaurant in the south part of town that serves malaysian food
7852,reqalts,what about portuguese food
7853,reqalts,what about portuguese food
7854,confirm,is it serving portuguese food
7855,request,what is the phone number
7856,request,what is the address
7857,thankyou,thank you good bye
7858,inform,im looking for a restaurant in the center of town that serves african food
7859,request,what is the address
7860,request,what is the phone number
7861,request,what is the post code
7862,thankyou,thank you good bye
7863,inform,moderately priced in the west
7864,inform,west
7865,inform,any
7866,request,phone number
7867,request,what is the phone number
7868,request,post code
7869,thankyou,thank you good bye
7870,inform,international food in the east part of town
7871,inform,international food
7872,request,address
7873,request,address
7874,request,post code
7875,null,noise
7876,thankyou,thank you good bye
7877,inform,im looking for a moderately priced restaurant that serves tuscan food
7878,reqalts,how about uh gastropub
7879,inform,and at the gastropub
7880,affirm,yes
7881,request,okay whats the address phone number and area
7882,request,whats the area
7883,thankyou,okay thank you goodbye
7884,inform,i need a cheap restaurant that serves indonesian food
7885,affirm,yes
7886,reqalts,how about indian
7887,reqalts,how about indian
7888,request,whats the address
7889,thankyou,thank you good bye
7890,inform,im looking for a restaurant in the east part of town thats expensive
7891,inform,doesnt matter
7892,request,whats the address
7893,request,whats the post code
7894,thankyou,thank you good bye
7895,inform,im looking for an expensive restaurant serving malaysian food
7896,reqalts,how about british food
7897,reqalts,what about british food
7898,request,what kind of food do they serve
7899,negate,no british food
7900,request,whats the phone number
7901,thankyou,thank you good bye
7902,inform,expensive restaurant south part of town
7903,negate,no south part of town
7904,inform,expensive
7905,reqalts,anything else
7906,request,address and phone number
7907,request,postcode
7908,request,address
7909,thankyou,thank you goodbye
7910,thankyou,thank you goodbye
7911,inform,i want a restaurant in the west part of town that serves australian food
7912,reqalts,how about italian
7913,inform,i want italian food
7914,inform,any
7915,inform,it doesnt matter
7916,request,what is the phone number
7917,bye,good bye
7918,inform,i want vegetarian food
7919,inform,it doesnt matter
7920,inform,vegitarian
7921,reqalts,how about portuguese
7922,inform,portuguese
7923,reqalts,how about portuguese
7924,affirm,yes
7925,affirm,yes
7926,bye,good bye
7927,inform,i want malaysian food in any area
7928,affirm,yes
7929,reqalts,how about korean
7930,negate,no
7931,inform,korean
7932,affirm,yes
7933,request,what is the address
7934,request,what is the price range
7935,request,what is the price range
7936,bye,good bye
7937,inform,i want expensive food in the east part of town
7938,inform,east part
7939,inform,it doesnt matter
7940,inform,expensive
7941,request,what is the phone number
7942,request,what is the address
7943,null,sil
7944,bye,good bye
7945,inform,im looking for a restaurant in the north part of town serving indian food
7946,request,price range
7947,inform,im looking for a restaurant in the north part of town serving indian food
7948,reqalts,is there anything else in the medium price range
7949,inform,is there anything in the cheap price range
7950,request,what is the address and post code
7951,inform,i am looking for a restaurant in the north part of town serving indian food
7952,inform,i dont care
7953,request,what is the address and post code
7954,thankyou,thank you good bye
7955,inform,i want a moderately priced
7956,inform,restaurant and it should serve steak house food
7957,inform,im looking for a restaurant serving asian oriental food
7958,affirm,yes
7959,request,can i get the address and phone number
7960,thankyou,thank you good bye
7961,inform,im looking for a cheap restaurant in the north part of town
7962,inform,dont care
7963,request,what is the phone number and address
7964,thankyou,thank you good bye
7965,inform,im looking for a restaurant in the north part of town serving malaysian food
7966,reqalts,how about asian oriental food
7967,request,can i get the address and phone number
7968,request,can i get the address and phone number
7969,thankyou,thank you good bye
7970,inform,im looking for a restaurant in the east part of town serving japanese food
7971,reqalts,how about indian food
7972,request,can i get the address and phone number
7973,thankyou,thank you good bye
7974,inform,want something in the south side of town thats moderately priced
7975,inform,i dont care
7976,inform,moderately priced
7977,request,okay whats the address
7978,request,whats the post code
7979,thankyou,thank you good bye
7980,inform,looking for afghan good
7981,reqalts,what about french food
7982,inform,i dont care
7983,request,uh whats the phone number
7984,bye,cool um thank you good bye
7985,inform,looking for spanish food in the center of town
7986,inform,center
7987,affirm,yes spanish restaurant
7988,inform,i dont care
7989,request,cool whats the address
7990,request,how about the phone number
7991,thankyou,thank you good bye
7992,inform,looking for something moderately priced in the north side of town
7993,inform,i dont care
7994,reqalts,is there anything else
7995,request,okay whats the address for that
7996,request,how about the phone number
7997,thankyou,okay cool uh good bye thank you
7998,inform,looking for cheap barbecue food
7999,affirm,yes barbecue food
8000,affirm,yes
8001,reqalts,how about european food
8002,null,um
8003,null,is there
8004,affirm,right
8005,affirm,yes
8006,inform,okay i dont care about price range
8007,null,okay just regular ecuadorean food
8008,inform,expensive european food
8009,inform,expensive
8010,request,okay could you give me the address
8011,request,phone number
8012,thankyou,thank you good bye
8013,inform,looking for lebanese food in the city center
8014,request,whats the price range
8015,request,um whats the phone number
8016,request,whats the address
8017,thankyou,um okay thank you good bye
8018,inform,looking for moderately priced russian food
8019,inform,russian food
8020,reqalts,what about chinese food
8021,inform,i dont care
8022,request,whats their phone number
8023,thankyou,thank you good bye
8024,hello,hello im looking for an expensive restaurant
8025,inform,i dont care
8026,inform,i dont care
8027,inform,crossover food
8028,inform,i would like crossover food
8029,reqalts,how about modern european food
8030,reqalts,okay how about modern european food
8031,reqalts,okay how about modern european food
8032,null,unintelligible
8033,inform,modern european
8034,inform,modern european food
8035,inform,i would like modern european food
8036,inform,european food
8037,inform,i would like modern european food
8038,null,you have a shitty system
8039,inform,modern european food
8040,bye,stop it
8041,negate,no
8042,inform,expensive
8043,request,type of food does it serve
8044,request,type of food does it serve
8045,inform,i would like modern european food
8046,inform,expensive
8047,request,great can i have the address and phone number
8048,thankyou,thank you goodbye
8049,inform,looking for a cheap restaurant in the west part of town
8050,affirm,right
8051,inform,any
8052,request,whats the address
8053,request,phone number
8054,thankyou,thank you good bye
8055,inform,looking for an expensive restaurant that serves indonesian food
8056,affirm,right
8057,reqalts,is there a restaurant serving british food
8058,inform,i dont care
8059,deny,wrong
8060,inform,i dont care
8061,inform,im looking for british food
8062,affirm,right
8063,affirm,right
8064,inform,i dont care
8065,request,the phone number
8066,request,what is the phone number
8067,bye,you good bye
8068,inform,looking for a moderately priced restaurant
8069,inform,any
8070,inform,polish
8071,inform,european
8072,request,whats its address
8073,request,whats its post code
8074,thankyou,thank you good bye
8075,inform,i want a moderately priced restaurant in the north part of town
8076,inform,doesnt matter
8077,affirm,correct
8078,request,can i have the address please
8079,request,and the postal code
8080,request,and whats the phone number
8081,null,sil
8082,thankyou,thank you good bye
8083,inform,i want a moderately priced restaurant that serves mediterranean food
8084,reqalts,how about cheap
8085,request,can i have their phone number
8086,request,can i have their phone number
8087,request,and the post code
8088,thankyou,thank you good bye
8089,null,noise
8090,inform,i want christmas food
8091,reqalts,what about north american type of food
8092,negate,breath no american food
8093,negate,no i want american food
8094,negate,no
8095,affirm,yes
8096,reqalts,how about american food
8097,reqalts,what about american food
8098,thankyou,thank you goodbye
8099,inform,i want a moderately priced restaurant in the west part of town
8100,inform,it doesnt matter
8101,request,whats their phone number
8102,thankyou,thank you good bye
8103,thankyou,thank you good bye
8104,inform,im looking for a restaurant that serves african food
8105,request,and whats their phone number
8106,request,and the post code
8107,thankyou,thank you good bye
8108,inform,id like to find a restaurant that serves afghan food
8109,inform,id like an expensive restaurant
8110,affirm,yes
8111,inform,id like to find a restaurant that serves korean food
8112,negate,no
8113,inform,id like to find a restaurant that serves korean food
8114,request,may i have the address
8115,request,may i know more about the area
8116,thankyou,thank you good bye
8117,inform,im looking for something moderately priced
8118,inform,south
8119,inform,i dont care
8120,request,can i have the address of that
8121,request,can i have the post code
8122,thankyou,thank you good bye
8123,inform,im looking for thai
8124,inform,west side
8125,inform,thai food
8126,inform,any fine
8127,null,noise
8128,inform,thai food
8129,request,what type of food
8130,request,whats its number
8131,negate,no
8132,confirm,is it thai food
8133,inform,im looking for thai food
8134,request,phone number
8135,request,may i have its address
8136,request,what type of food is it
8137,thankyou,thank you good bye
8138,inform,looking for something on the south side
8139,inform,danish food
8140,negate,no danish food
8141,inform,danish
8142,reqalts,how about italian
8143,reqalts,what about italian food
8144,affirm,yes
8145,affirm,yes
8146,inform,doesnt matter
8147,affirm,yes
8148,request,could i have its phone number
8149,request,can you give me its post code
8150,thankyou,thank you good bye
8151,inform,im looking for something expensive
8152,inform,doesnt matter
8153,inform,something serving swiss food
8154,inform,something serving swiss food
8155,affirm,yes
8156,reqalts,what about british food
8157,inform,im looking for a restaurant serving british food then
8158,negate,no
8159,request,can i have its phone number
8160,thankyou,breath thank you very much goodbye
8161,inform,im looking for something cheap
8162,inform,west side
8163,affirm,yes
8164,inform,doesnt matter
8165,affirm,yes
8166,request,could i have its address
8167,request,whats its phone number
8168,thankyou,thank you good bye
8169,inform,restaurant
8170,inform,east
8171,inform,singaporean
8172,inform,indian
8173,inform,moderate
8174,request,address
8175,request,address
8176,request,phone number
8177,thankyou,thank you good bye
8178,inform,world food
8179,inform,modern european
8180,inform,any
8181,inform,anything
8182,affirm,yea
8183,request,phone number
8184,request,phone number
8185,thankyou,thank you good bye
8186,inform,moderately priced
8187,inform,west
8188,inform,any
8189,request,address
8190,request,address
8191,thankyou,thank you good bye
8192,null,noise
8193,inform,cheap restaurant
8194,inform,any
8195,inform,hungarian
8196,inform,european
8197,request,address
8198,request,address
8199,request,phone number
8200,thankyou,thank you good bye
8201,inform,east
8202,inform,east
8203,inform,caribbean food
8204,inform,indian
8205,inform,any
8206,request,address
8207,request,address
8208,request,address
8209,request,phone number
8210,thankyou,thank you good bye
8211,inform,south
8212,inform,south
8213,inform,south
8214,affirm,yes
8215,inform,portugese
8216,request,phone number
8217,request,phone number
8218,request,address
8219,thankyou,thank you good bye
8220,inform,moderate
8221,null,noise
8222,inform,moderate
8223,inform,north
8224,inform,any
8225,reqalts,anything else
8226,request,address
8227,request,phone number
8228,request,post code
8229,thankyou,thank you good bye
8230,inform,cheap
8231,inform,any
8232,inform,belgian
8233,inform,chinese
8234,inform,cheap
8235,inform,cheap
8236,request,address
8237,request,phone number
8238,thankyou,thank you good bye
8239,inform,moderate
8240,request,price
8241,inform,north
8242,request,addre
8243,request,address
8244,request,phone number
8245,request,phone number
8246,request,phone number
8247,request,address
8248,request,phone number
8249,thankyou,thank you goodbye
8250,inform,restaurant in center
8251,inform,malaysian food
8252,inform,malaysian food
8253,affirm,yes
8254,inform,british food
8255,affirm,yes
8256,inform,british food
8257,affirm,yes
8258,inform,british food
8259,affirm,yes
8260,thankyou,thank you good bye
8261,inform,restaurant in the south part of town
8262,inform,irish food
8263,inform,indian type of food
8264,inform,indian food
8265,request,phone number
8266,request,phone number
8267,request,what is the phone number
8268,thankyou,thank you good bye
8269,inform,a moderately priced restaurant in the south part of town
8270,inform,i do not care
8271,affirm,correct
8272,reqalts,is there anything else
8273,request,may i have the address and phone number please
8274,thankyou,thank you good bye
8275,inform,price over food west part of town
8276,inform,west
8277,inform,class over
8278,inform,cross over
8279,request,may i have the phone number
8280,null,noise
8281,affirm,yes
8282,request,may i have the phone number please
8283,thankyou,thank you good bye
8284,null,sil
8285,inform,uh i want cantonese food
8286,inform,cantonese
8287,reqalts,how about thai food
8288,request,what type of food
8289,request,whats the address and phone number
8290,reqalts,what about thai food
8291,null,sil
8292,thankyou,thank you good bye
8293,inform,a moderate restaurant in the west part of town
8294,inform,doesnt matter
8295,affirm,yes
8296,affirm,right
8297,request,whats the phone number
8298,thankyou,thank you good bye
8299,inform,cantonese food
8300,inform,cantonese food
8301,inform,north american food
8302,inform,north american type food
8303,inform,any area
8304,negate,no
8305,inform,south of town
8306,affirm,yes right
8307,inform,east of town
8308,inform,west of town
8309,affirm,right
8310,thankyou,thank you good bye
8311,inform,barbecue
8312,inform,east
8313,affirm,yes
8314,affirm,right
8315,inform,barbecue food
8316,inform,barbecue food
8317,inform,indian food
8318,inform,fuck the missing sock
8319,inform,can you do anything else beside repeat yourself
8320,inform,barbecue food
8321,inform,barbecue food
8322,affirm,yes
8323,negate,no
8324,inform,any price range
8325,inform,indian food
8326,thankyou,thank you
8327,thankyou,thank you good bye
8328,inform,id like to find a cheap restaurant in the west part of town
8329,inform,any thing
8330,request,whats the address
8331,request,and the phone number
8332,thankyou,thank you good bye
8333,inform,yea im looking for a really cheap restaurant in the east part of town
8334,inform,east
8335,request,whats the address
8336,request,the phone
8337,inform,im looking for a restaurant in any area and it should serve pan asian food
8338,reqalts,what about international food
8339,inform,uh international food
8340,repeat,repeat that
8341,inform,any range is fine
8342,affirm,yes
8343,request,whats the phone number
8344,request,whats the post code
8345,thankyou,thank you good bye
8346,inform,im looking for a restaurant in the west park of town that serves australian food
8347,inform,australian
8348,reqalts,how about vietnamese
8349,request,can i get the phone number
8350,thankyou,thank you good bye
8351,inform,im looking for a cheap restaurant in the north part of town
8352,affirm,yes
8353,inform,any
8354,request,can i get the address
8355,thankyou,thank you good bye
8356,inform,im looking for an expensive restaurant that serves signaporean food
8357,reqalts,how about british food
8358,inform,british food
8359,inform,any
8360,request,can i get the phone number
8361,thankyou,thank you good bye
8362,inform,im looking for an expensive restaurant that serves unusual food
8363,reqalts,how about european food
8364,reqalts,how about european food
8365,request,can i have the address phone number and area
8366,thankyou,thank you goodbye
8367,inform,im looking for a restaurant in any area that serves russian food
8368,affirm,yes
8369,inform,russian
8370,inform,north american
8371,affirm,yes
8372,affirm,yes
8373,request,can i get the address
8374,request,the phone number
8375,request,and the price range
8376,thankyou,thank you good bye
8377,inform,i want an expensive restaurant that serves sea food
8378,request,could you repeat the restaurant name
8379,request,could you repeat the name
8380,request,what is the phone number
8381,request,what is the area
8382,thankyou,thank you good bye
8383,inform,i want an expensive restaurant that serves polish food
8384,reqalts,how about italian food
8385,inform,italian food
8386,inform,it doesnt matter
8387,request,what is the address
8388,request,what is the phone number
8389,request,what is the area
8390,thankyou,thank you goodbye
8391,inform,i would like steakhouse food
8392,reqalts,how about european food
8393,reqalts,how about european food
8394,affirm,yes
8395,inform,doesnt matter
8396,affirm,yes
8397,inform,it doesnt matter
8398,request,what is the phone number
8399,thankyou,noise thank you goodbye
8400,inform,im looking for a restaurant in the west part of town serving italian food
8401,inform,doesnt matter
8402,inform,i dont care
8403,request,what is the phone number
8404,request,what is the address
8405,request,what is the price range
8406,thankyou,thank you good bye
8407,null,noise
8408,inform,im looking for a moderately priced restaurant in the west part of town
8409,affirm,yes
8410,inform,west part of town
8411,inform,west
8412,null,system
8413,inform,west part of town
8414,affirm,yes
8415,request,can i have the address and the phone number
8416,request,can i have the address
8417,thankyou,thank you good bye
8418,null,sil
8419,null,noise
8420,inform,im looking for an expensive restaurant serving french food
8421,inform,any part of town
8422,inform,french
8423,request,can i have the phone number
8424,thankyou,thank you good bye
8425,inform,im looking for a cheap restaurant in the west part of town
8426,null,noise
8427,request,can i have the phone number of the venue
8428,thankyou,thank you goodbye noise thank you goodbye
8429,inform,im looking for a restaurant in the south part of town serving austrian food
8430,reqalts,how about indian type of food
8431,inform,there is no such venue harbor indian type of food
8432,inform,indian type of food
8433,inform,theres no such venue unintelligible indian type of food
8434,inform,indian type of food
8435,inform,indian type of food
8436,inform,im looking for a restaurant in the south part of town serving indian type of food
8437,null,sil
8438,thankyou,thank you good bye
8439,inform,im looking for moderately priced restaurant serving austrian food
8440,inform,serving austrian food
8441,reqalts,how about gastropub type of food
8442,inform,theres no such venue how about gastropub type of food
8443,request,can i have the address and phone number
8444,request,noise can i have the phone number
8445,thankyou,thank you good bye
8446,inform,im looking for a restaurant in the north part of town serving lebanese food
8447,affirm,yes
8448,reqalts,how about italian type of food
8449,reqalts,if there is no such venue how about italian type of food
8450,inform,im looking for a restaurant in the north part of town serving italian food
8451,inform,im looking for a restaurant in the north part of town serving italian type of food
8452,negate,no
8453,thankyou,thank you goodbye
8454,inform,im looking for a cheap restaurant serving modern european type of food
8455,inform,serving modern european type of food
8456,request,can i have the address and post code
8457,request,can i have the address
8458,request,can i have the address of the venue
8459,thankyou,thank you good bye
8460,inform,im looking for a restaurant serving international food
8461,inform,any part of town
8462,inform,i dont care about the price
8463,request,can i have the phone number and address
8464,thankyou,thank you good bye
8465,inform,cheap
8466,inform,restaurant
8467,inform,north
8468,negate,no north
8469,null,sil
8470,null,blow
8471,reqalts,anything else
8472,inform,cheap
8473,inform,north
8474,inform,cheap
8475,null,sil
8476,inform,cheap restaurant north part of town
8477,null,unintelligible
8478,deny,wrong
8479,reqalts,anything else
8480,request,address
8481,null,sil
8482,null,sil
8483,request,address
8484,request,address
8485,request,phone number
8486,thankyou,thank you goodbye
8487,null,sil
8488,inform,international
8489,inform,food
8490,inform,north part of town
8491,inform,italian food
8492,inform,italian food
8493,affirm,yes italian food
8494,request,address
8495,null,adress
8496,null,adress
8497,request,address
8498,request,phone number
8499,thankyou,thank you good bye
8500,inform,south
8501,inform,south
8502,null,breathing
8503,null,inaudible
8504,inform,indian
8505,negate,no
8506,inform,indian
8507,inform,south
8508,inform,indian food
8509,request,address
8510,request,price range
8511,request,price range
8512,request,price range
8513,thankyou,thank you goodbye
8514,inform,west part of town
8515,inform,west
8516,inform,noise west
8517,inform,west
8518,inform,west
8519,inform,any
8520,inform,moderate
8521,request,address
8522,request,post code
8523,request,post code
8524,thankyou,thank you good bye
8525,inform,i need to find a restaurant in the north part of town that serves jamaican food
8526,inform,jamcian food
8527,reqalts,how about an indian restaurant in the north part of town
8528,reqalts,how about indian food
8529,inform,indian
8530,request,i need the address phone number and price range
8531,request,what is the price range
8532,thankyou,thank you good bye
8533,inform,im looking for a restaurant in the north part of town
8534,inform,lebanese food
8535,reqalts,how about italian
8536,reqalts,how about italian food
8537,affirm,yes
8538,affirm,yes
8539,request,what is the address
8540,request,what is the phone number
8541,thankyou,thank you good bye
8542,thankyou,thank you good bye
8543,inform,im looking for a restaurant in the south part of town
8544,inform,any
8545,request,what is the address
8546,request,what is the address
8547,request,whats the phone number
8548,request,what is the post code
8549,thankyou,thank you good bye
8550,inform,i need a cheap restaurant
8551,inform,doesnt matter
8552,inform,doesnt matter
8553,inform,find me a cheap vietnamese restaurant
8554,affirm,yes
8555,affirm,yes
8556,inform,find me vietnamese food
8557,request,what is the address
8558,request,what is the address
8559,request,what is the phone number
8560,request,what area
8561,request,what kind of food does it serve
8562,thankyou,thank you good bye
8563,inform,looking for a japanese restaurant in the center
8564,request,whats the address
8565,request,whats the address
8566,request,whats the phone number
8567,thankyou,thank you good bye
8568,inform,i want a moderately priced restaurant in the west part of town
8569,inform,i dont care
8570,request,whats the address
8571,request,what kind of food do they serve
8572,thankyou,thank you good bye
8573,inform,i want a moderately priced restaurant in the north part of town
8574,inform,i dont care
8575,confirm,is that in the north part of town
8576,confirm,is it in the north part of town
8577,inform,i want one in the north part of town
8578,request,whats the address
8579,request,whats the phone number
8580,request,what type of food do they serve
8581,request,what kind of food
8582,request,what food do they serve
8583,thankyou,thank you good bye
8584,inform,i need a cuban restaurant that is moderately priced
8585,inform,what about a spanish restuarant
8586,reqalts,how about spanish
8587,negate,no spanish food
8588,affirm,yes
8589,request,whats the address
8590,request,whats the phone number
8591,request,whats the post code
8592,thankyou,thank you good bye
8593,inform,i need a moderately priced restaurant in the south part of town
8594,inform,i dont care
8595,request,whats the address
8596,request,whats the phone number
8597,request,what type of food do they serve
8598,thankyou,thank you good bye
8599,null,sil
8600,inform,im looking for a restaurant in the north part of town
8601,inform,canapes food
8602,reqalts,how about indian type food
8603,inform,it doesnt matter
8604,reqalts,anything else
8605,request,do you have the address
8606,request,and the phone number
8607,request,and whats the price range
8608,thankyou,okay thank you good bye
8609,inform,im looking for a restaurant in any area that serves polynesian food
8610,reqalts,how about modern european type of food
8611,reqalts,can i try another one
8612,inform,modern european
8613,affirm,yes
8614,inform,doesnt matter
8615,affirm,right
8616,reqalts,is there another one
8617,request,okay do you have their phone number
8618,thankyou,thank you good bye
8619,inform,im looking for a moderately priced restaurant in the north part of town
8620,inform,any food
8621,affirm,yes
8622,reqalts,can i have another option
8623,thankyou,thank you good bye
8624,inform,im looking for a restaurant in the east part of town
8625,inform,that serves corsica
8626,inform,corsica
8627,inform,the indian food
8628,thankyou,thank you good bye
8629,inform,im looking for a restaurant in any area of town that serves belgium food
8630,reqalts,how about korean food
8631,inform,korean food
8632,request,what is the address and price range
8633,null,what is the
8634,thankyou,thank you good bye
8635,inform,im looking for a restaurant
8636,reqalts,how about asian food
8637,reqalts,how about asian oriental food
8638,inform,asian oriental
8639,affirm,yes
8640,request,what is the address and phone number
8641,thankyou,thank you good bye
8642,hello,music hello
8643,hello,hello
8644,inform,id like to find a moderately priced restaurant in the east part of town
8645,inform,chinese
8646,inform,chinese
8647,null,the addre
8648,request,what is the addre
8649,bye,k you goodbye
8650,bye,k you goodbye
8651,thankyou,thank you goodbye
8652,inform,i would like australian foo
8653,inform,talian food
8654,inform,italian food
8655,inform,west part of town
8656,inform,i dont care
8657,request,phone number
8658,request,what is the phone number
8659,thankyou,thank you goodbye
8660,thankyou,thank you goodbye
8661,inform,i want a restaurant in the center of town
8662,inform,center of town
8663,inform,center of town
8664,inform,center of town
8665,inform,ese food
8666,inform,i want the center of town
8667,inform,center
8668,null,chikkis
8669,request,what is the address
8670,request,what is the phone number
8671,bye,bye
8672,bye,you good bye
8673,inform,i want a moderate priced restaurant in the south of town
8674,inform,i dont care
8675,inform,moderate
8676,reqalts,anything else
8677,request,what is the address and phone number
8678,thankyou,thank you good bye
8679,thankyou,thank you good bye
8680,inform,im looking for a cheap restaurant
8681,request,part of town
8682,inform,i dont care
8683,null,town
8684,request,part of town
8685,request,type of food
8686,request,type of food do they serve
8687,request,what is the address
8688,request,what is the address
8689,request,what is the address
8690,request,what is the address
8691,thankyou,thank you good bye
8692,inform,looking for a moderately priced restaurant and it needs to be in the south part of town
8693,inform,uh any type of food
8694,request,can i have the phone number and type of food that
8695,null,serve
8696,request,can i please have the phone number
8697,request,and what type of food does it serve
8698,thankyou,thank you good bye
8699,inform,im looking for a restaurant that serves swiss food
8700,reqalts,what about vietnamese type of food
8701,negate,no im looking for one that serves vietnamese food
8702,request,can i have the address and phone number please
8703,thankyou,thank you good bye
8704,inform,looking for a cheap restaurant that serves creative food
8705,inform,is there one that serves creative food
8706,inform,uh are there any that serves mediterranean
8707,inform,are there any that serves mediterranean type food
8708,inform,mediterranean
8709,affirm,right
8710,request,okay can i have the phone number and the post code please
8711,thankyou,thank you good bye
8712,inform,im looking for a restaurant in the center part of town that serves unintelligible food
8713,inform,not korean unintelligible
8714,inform,not korean
8715,null,uh
8716,null,what about unintelligible food restaurants
8717,thankyou,thank you good bye
8718,inform,a restaurant with afghan food
8719,inform,uh a restaurant in the south part of town
8720,reqalts,how about portuguese food
8721,request,what is the phone number
8722,request,the address
8723,thankyou,thank you good bye
8724,inform,restaurant north part of town fast food
8725,inform,west
8726,thankyou,thank you good bye
8727,inform,cheap restaurant north part of town
8728,inform,any
8729,inform,cheap
8730,request,phone number and address
8731,thankyou,thank you good bye
8732,inform,restaurant south part of town english food
8733,affirm,yes
8734,inform,english food
8735,inform,italian food
8736,inform,italian food
8737,inform,any
8738,request,phone number and post code
8739,thankyou,thank you good bye
8740,inform,cheap restaurant in the south part of town
8741,inform,any
8742,request,phone number
8743,request,phone number
8744,thankyou,thank you good bye
8745,inform,restaurant north part of town seafood
